언론사,코드
경향신문,1032
국민일보,1005
내일신문,2312
동아일보,1020
매일일보,2385
문화일보,1021
서울신문,1081
세계일보,1022
아시아투데이,2268
전국매일신문,2844
조선일보,1023
중앙일보,1025
천지일보,2041
한겨레,1028
한국일보,1469
가톨릭평화방송·평화신문,2234
경기방송,2702
경인방송,2713
광주MBC,2383
국제뉴스,2291
국회방송,2807
그린포스트코리아,2194
내외경제tv,2544
내외뉴스통신,2535
뉴스1,1421
뉴스웍스,2525
뉴스핌,2002
뉴시스,1003
대구MBC,2382
대전MBC,2421
디지틀조선TV,2749
목포MBC,2735
미디어리퍼블릭,2783
부산MBC,2538
서울경제TV,2656
아리랑TV,2363
안동MBC,2318
여수MBC,2745
연합뉴스,1001
연합뉴스TV,1422
울산MBC,2541
전주MBC,2769
제주MBC,2743
채널A,1449
춘천MBC,2742
팍스경제TV,2802
포항MBC,2662
한국경제TV,1004
현대HCN 새로넷방송,2708
BBC,2741
BTN불교TV,2423
CJB청주방송,2737
CMB광주방송,2508
CMB대전방송,2450
EBS,2099
G1방송,2402
JIBS,2710
JTBC,1437
JTV전주방송,2847
kbc광주방송,2446
KBS,1056
KNN,2167
KTV국민방송,2108
LG헬로비전,2698
MBC,1214
MBC강원영동,2477
MBC경남,2805
MBC충북,2490
MBN,1019
MTN,2151
NSP통신,2025
OBS,2155
SBS,1055
SBS Biz,1374
SK브로드밴드,2556
TBC대구방송,2375
TBS,2233
TJB 대전방송,2451
TV조선,1448
YTN,1052
YTN라디오,2251
YTN사이언스,2221
게임톡,2497
게임포커스,2351
경남데일리,2725
그린데일리,2140
글로벌이코노믹,2366
나이스경제,2810
넥스트데일리,2141
녹색경제신문,2499
뉴스토마토,2119
대한금융신문,2282
더벨,2254
데이터넷,2096
데일리경제,2792
디아이투데이,2213
디지털데일리,1138
디지털타임스,1029
디지털투데이,2137
딜라이트닷넷,2214
매일경제,1009
매일경제TV,2274
머니투데이,1008
바이라인네트워크,2704
베타뉴스,2017
벤처스퀘어,2506
보안뉴스,2016
브릿지경제,2394
블로터,1293
비즈니스워치,1648
비즈니스포스트,2374
비즈한국,2480
서울경제,1011
서울파이낸스,2001
스카이데일리,2510
시장경제신문,2528
씨넷코리아,2405
아시아경제,1277
아시아타임즈,2492
아유경제,2609
아이티데일리,2046
아주경제,2090
앱스토리,2716
에너지경제,2133
에이빙뉴스,2015
이뉴스투데이,2038
이데일리,1018
이코노뉴스,2524
이투뉴스,2118
이투데이,2003
일간리더스경제,2515
전자신문,1030
조선비즈,1366
조세일보,1123
중소기업신문,2296
증권경제신문,2804
초이스경제,2256
케이벤치,2036
코인리더스,2676
테크노아,2048
테크월드,2752
테크홀릭,2404
투데이에너지,2300
파이낸셜뉴스,1014
파이낸셜신문,2781
프라임경제,2325
프레스나인,2201
핀포인트뉴스,2829
한국경제,1015
헤럴드경제,1016
CBC뉴스,2785
CCTV뉴스,2298
CEO스코어데일리,2243
CIO Korea,2177
e대한경제,2138
G밸리뉴스,2206
ITWorld,2110
IT비즈뉴스,2795
ZDNet Korea,1092
ㅍㅍㅅㅅ,2407
가톨릭프레스,2545
건강다이제스트,2454
게임동아,2611
게임조선,2434
경기도민일보,2654
경인매일,2764
고발뉴스,2435
골프한국,2606
공공뉴스,2584
광명지역신문,2568
굿모닝경제,2464
글로벌E,2763
글로벌경제,2445
글로벌에픽,2728
금융소비자뉴스,2573
기계신문,2596
노동과희망,2801
노컷뉴스,1079
노트펫,2511
뉴데일리,2005
뉴스다임,2803
뉴스락,2779
뉴스메이커,2159
뉴스민,2424
뉴스앤조이,2475
뉴스워치,2673
뉴스워커,2521
뉴스웨이,2270
뉴스제주,2657
뉴스케이프,2819
뉴스퀘스트,2809
뉴스클레임,2772
뉴스톱,2724
뉴스투데이,2527
뉴스티앤티,2788
뉴스펭귄,2849
뉴스프리존,2551
뉴스한국,2091
뉴스후플러스,2692
뉴시안,2798
단디뉴스,2586
단비뉴스,2750
대경일보,2581
대학저널,2413
대한전문건설신문,2465
더구루,2778
더드라이브,2731
더리포트,2780
더밸류뉴스,2767
더파워,2832
더팩트,1629
더퍼블릭,2787
더퍼스트,2560
데이터솜,2711
데일리안,1119
데일리팜,2190
데일리팝,2516
데일리한국,2358
디센터,2751
디스커버리뉴스,2613
디지틀조선일보,2641
딴지일보,2390
땅집고,2790
라이센스뉴스,2762
로봇신문,2430
로톡뉴스,2845
리버티코리아포스트,2791
리얼푸드,2419
마켓뉴스,2697
매일노동뉴스,2431
매일안전신문,2812
머니S,1417
메가경제,2770
메디게이트뉴스,2479
메디소비자뉴스,2576
메트로신문,2286
문화저널21,2420
미디어SR,2670
미디어오늘,1006
미디어워치,2010
미디어펜,2244
민주신문,2647
민중의소리,2683
바이오스펙테이터,2651
법률방송뉴스,2626
불교공뉴스,2324
불교포커스,2488
뷰스앤뉴스,2007
뷰어스,2597
브레이크뉴스,2297
비마이너,2487
비욘드포스트,2736
빅데이터뉴스,2645
산업일보,2433
서울와이어,2526
서울이코노미뉴스,2774
세계비즈,2653
세종의 소리,2776
소믈리에타임즈,2426
소비자가 만드는 신문,2275
스마트경제,2693
스마트에프엔,2827
스트레이트뉴스,2677
슬로우뉴스,2397
시민일보,2055
시빅뉴스,2461
시사뉴스,2612
시사뉴스24,2799
시사위크,2337
시사저널이코노미,2471
시사포커스,2329
시선뉴스,2369
아시아에이,2755
아시아엔,2216
아이뉴스24,1031
아이투자,2578
아이티비즈,2579
아트인사이트,2726
안전신문,2729
얼리어답터,2707
에너지데일리,2685
에듀프레스,2605
여성경제신문,2759
여수넷통뉴스,2748
열린뉴스통신,2818
오늘경제,2721
오마이뉴스,1047
오토데일리,2598
우먼스플라워,2822
우먼타임스,2848
워크투데이,2796
위키리크스한국,2622
위키트리,2239
의사신문,2826
의학채널 비온뒤,2483
이로운넷,2738
이지경제,2594
이코노미톡뉴스,2192
이코노텔링,2816
이코리아,2562
인공지능신문,2830
인더뉴스,2667
인더스트리뉴스,2580
인민망,2388
인베스트조선,2552
인사이드 비나,2823
인사이트,2486
인천in,2808
인천뉴스,2650
전남매일,2709
제주교통복지신문,2610
